iter	Passed	Remaining
0	8	2538
1	15	2245
2	21	2087
3	26	1943
4	31	1849
5	35	1752
6	39	1673
7	43	1602
8	47	1534
9	50	1473
10	53	1393
11	55	1343
12	58	1301
13	61	1266
14	65	1236
15	68	1207
16	70	1177
17	73	1156
18	77	1143
19	80	1124
20	83	1105
21	86	1088
22	89	1074
23	92	1058
24	94	1044
25	97	1030
26	100	1019
27	103	1008
28	107	999
29	110	990
30	112	980
31	116	973
32	119	962
33	121	952
34	124	945
35	127	936
36	130	927
37	133	920
38	136	914
39	139	905
40	142	899
41	145	892
42	148	885
43	151	880
44	154	873
45	157	868
46	160	862
47	163	857
48	166	855
49	170	850
50	173	846
51	177	844
52	180	841
53	183	836
54	186	830
55	189	825
56	192	821
57	195	815
58	198	811
59	201	806
60	204	802
61	207	798
62	210	793
63	214	790
64	217	786
65	221	783
66	224	780
67	227	776
68	231	773
69	233	768
70	237	765
71	240	761
72	244	758
73	248	757
74	251	755
75	254	750
76	257	746
77	261	743
78	264	739
79	267	736
80	271	732
81	274	729
82	277	724
83	280	720
84	283	717
85	286	713
86	289	709
87	292	704
88	295	700
89	298	697
90	301	693
91	304	689
92	307	685
93	310	681
94	314	677
95	317	674
96	320	669
97	322	665
98	325	661
99	328	657
100	332	654
101	335	651
102	339	648
103	342	645
104	345	641
105	349	638
106	351	634
107	354	630
108	357	626
109	360	622
110	363	619
111	366	615
112	370	612
113	373	609
114	376	605
115	379	601
116	382	597
117	384	593
118	387	590
119	390	586
120	393	582
121	397	579
122	399	575
123	402	571
124	405	568
125	409	564
126	412	561
127	415	557
128	418	554
129	421	551
130	424	547
131	427	544
132	430	540
133	433	536
134	436	533
135	439	529
136	442	525
137	445	522
138	448	519
139	452	516
140	454	513
141	457	509
142	461	506
143	464	502
144	467	499
145	470	496
146	473	492
147	476	489
148	480	486
149	483	483
150	486	480
151	489	476
152	492	473
153	495	470
154	498	466
155	501	463
156	504	459
157	508	457
158	511	453
159	514	450
160	518	447
161	521	443
162	524	441
163	527	437
164	531	434
165	534	431
166	538	428
167	541	425
168	544	421
169	547	418
170	550	415
171	554	412
172	557	409
173	561	406
174	564	403
175	567	399
176	570	396
177	573	393
178	577	390
179	580	386
180	583	383
181	587	380
182	590	377
183	593	374
184	596	370
185	599	367
186	603	364
187	606	361
188	610	358
189	613	354
190	616	351
191	619	348
192	623	345
193	626	342
194	629	339
195	632	335
196	636	332
197	639	329
198	642	325
199	645	322
200	648	319
201	651	316
202	655	313
203	658	310
204	661	306
205	665	303
206	668	300
207	671	297
208	674	293
209	677	290
210	680	287
211	683	283
212	687	280
213	690	277
214	693	274
215	696	270
216	700	267
217	703	264
218	706	261
219	710	258
220	713	255
221	716	251
222	719	248
223	722	245
224	725	241
225	728	238
226	731	235
227	734	231
228	737	228
229	740	225
230	743	222
231	746	218
232	749	215
233	753	212
234	756	209
235	759	205
236	763	202
237	766	199
238	769	196
239	772	193
240	776	190
241	779	186
242	782	183
243	786	180
244	789	177
245	792	173
246	795	170
247	798	167
248	801	164
249	805	161
250	808	157
251	811	154
252	815	151
253	818	148
254	820	144
255	824	141
256	827	138
257	830	135
258	833	131
259	836	128
260	839	125
261	842	122
262	845	119
263	849	115
264	852	112
265	855	109
266	858	106
267	861	102
268	864	99
269	868	96
270	871	93
271	873	89
272	877	86
273	880	83
274	883	80
275	886	77
276	890	73
277	893	70
278	896	67
279	899	64
280	902	61
281	905	57
282	908	54
283	912	51
284	915	48
285	918	44
286	922	41
287	926	38
288	929	35
289	932	32
290	936	28
291	940	25
292	944	22
293	947	19
294	950	16
295	953	12
296	956	9
297	959	6
298	962	3
299	966	0
